Кепка,Стоимость 1 декады, Стоимость 2 декады,Стоимость 3 декады,Стоимость 4 декады,Стоимость 5 декады,Стоимость 6 декады,Стоимость 7 декады,Стоимость 8 декады,Стоимость 9 декады,Стоимость 10 декады,Стоимость 11 декады,Стоимость 12 декады
Кепка 1,4999,3456,3434,5656,8992,8909,8765,2345,5464,7979,2353,9776
Кепка 2,3999,4483,4484,6370,5740,3131,6198,6081,5608,3857,5652,4252
Кепка 3,6999,6005,5185,4165,3396,6895,5189,6245,6139,4877,3426,6387
Кепка 4,5399,6253,3980,3081,4179,5817,3347,4871,5910,3851,6478,5769
Кепка 5, 3800,4226,4328,6074,4804,5128,4933,3639,3775,6880,4965,4401
Кепка 6,5670,4120,4126,4290,6574,5777,4362,5562,4940,3142,3356,6211
Кепка 7,7400,5777,3809,6914,6632,6986,3519,5510,6210,6785,3610,5550
Кепка 8,4500,4252,5757,6351,3930,5163,6768,4988,6845,6541,5769,6718
Кепка 9,3670,3025,5838,6259,5451,5669,6958,5521,5777,6173,4681,5982
Кепка 10,4700,6057,6097,4626,5557,4426,5131,3164,6447,3077,6883,4976
Кепка 11,6700,4115,4796,6612,6630,6737,3735,6563,6998,4670,6023,3636
Кепка 12,3500,6867,4205,4010,3835,3445,6139,5922,3226,4911,6830,3956
